[iter: 1000] train loss: 14.2076, recall@10: 0.014, nDCG@10: 0.008
[iter: 2000] train loss: 13.7253, recall@10: 0.012, nDCG@10: 0.0062
[iter: 3000] train loss: 13.4202, recall@10: 0.013, nDCG@10: 0.0078
[iter: 4000] train loss: 13.2510, recall@10: 0.015, nDCG@10: 0.0085
[iter: 5000] train loss: 13.1115, recall@10: 0.025, nDCG@10: 0.0121
[iter: 6000] train loss: 12.9938, recall@10: 0.023, nDCG@10: 0.0124
[iter: 7000] train loss: 12.8684, recall@10: 0.026, nDCG@10: 0.0138
[iter: 8000] train loss: 12.7742, recall@10: 0.018, nDCG@10: 0.0095
[iter: 9000] train loss: 12.7120, recall@10: 0.025, nDCG@10: 0.0115
[iter: 10000] train loss: 12.6138, recall@10: 0.028, nDCG@10: 0.0139
[iter: 11000] train loss: 12.5216, recall@10: 0.028, nDCG@10: 0.0178
[iter: 12000] train loss: 12.4592, recall@10: 0.02, nDCG@10: 0.0098
[iter: 13000] train loss: 12.3799, recall@10: 0.023, nDCG@10: 0.0137
[iter: 14000] train loss: 12.3328, recall@10: 0.023, nDCG@10: 0.013
[iter: 15000] train loss: 12.2720, recall@10: 0.029, nDCG@10: 0.0135
[iter: 16000] train loss: 12.2159, recall@10: 0.029, nDCG@10: 0.0154
[iter: 17000] train loss: 12.1579, recall@10: 0.03, nDCG@10: 0.0176
[iter: 18000] train loss: 12.0971, recall@10: 0.036, nDCG@10: 0.0208
[iter: 19000] train loss: 12.0388, recall@10: 0.026, nDCG@10: 0.0127
[iter: 20000] train loss: 11.9912, recall@10: 0.028, nDCG@10: 0.0161
[iter: 21000] train loss: 11.9334, recall@10: 0.034, nDCG@10: 0.0181
[iter: 22000] train loss: 11.9077, recall@10: 0.025, nDCG@10: 0.0134
[iter: 23000] train loss: 11.8616, recall@10: 0.017, nDCG@10: 0.0097
[iter: 24000] train loss: 11.8039, recall@10: 0.034, nDCG@10: 0.0173
[iter: 25000] train loss: 11.7554, recall@10: 0.031, nDCG@10: 0.0155
[iter: 26000] train loss: 11.7236, recall@10: 0.037, nDCG@10: 0.0188
[iter: 27000] train loss: 11.6802, recall@10: 0.027, nDCG@10: 0.0135
[iter: 28000] train loss: 11.6538, recall@10: 0.033, nDCG@10: 0.0152
[iter: 29000] train loss: 11.6218, recall@10: 0.037, nDCG@10: 0.02
[iter: 30000] train loss: 11.5818, recall@10: 0.022, nDCG@10: 0.0113
[iter: 31000] train loss: 11.5333, recall@10: 0.028, nDCG@10: 0.0135
[iter: 32000] train loss: 11.5137, recall@10: 0.027, nDCG@10: 0.0162
[iter: 33000] train loss: 11.4660, recall@10: 0.034, nDCG@10: 0.0176
[iter: 34000] train loss: 11.4532, recall@10: 0.031, nDCG@10: 0.0165
[iter: 35000] train loss: 11.4025, recall@10: 0.034, nDCG@10: 0.0177
[iter: 36000] train loss: 11.3726, recall@10: 0.03, nDCG@10: 0.0143
[iter: 37000] train loss: 11.3317, recall@10: 0.042, nDCG@10: 0.0266
[iter: 38000] train loss: 11.3052, recall@10: 0.026, nDCG@10: 0.0126
[iter: 39000] train loss: 11.2834, recall@10: 0.034, nDCG@10: 0.0203
[iter: 40000] train loss: 11.2509, recall@10: 0.035, nDCG@10: 0.0177
[iter: 41000] train loss: 11.2298, recall@10: 0.034, nDCG@10: 0.0194
[iter: 42000] train loss: 11.2073, recall@10: 0.032, nDCG@10: 0.0159
[iter: 43000] train loss: 11.1669, recall@10: 0.023, nDCG@10: 0.014
[iter: 44000] train loss: 11.1416, recall@10: 0.019, nDCG@10: 0.0105
[iter: 45000] train loss: 11.1025, recall@10: 0.031, nDCG@10: 0.0153
[iter: 46000] train loss: 11.0789, recall@10: 0.046, nDCG@10: 0.0251
[iter: 47000] train loss: 11.0575, recall@10: 0.038, nDCG@10: 0.0199
[iter: 48000] train loss: 11.0405, recall@10: 0.03, nDCG@10: 0.015
[iter: 49000] train loss: 11.0262, recall@10: 0.021, nDCG@10: 0.0121
[iter: 50000] train loss: 10.9846, recall@10: 0.028, nDCG@10: 0.0165
[iter: 51000] train loss: 10.9614, recall@10: 0.025, nDCG@10: 0.0125
[iter: 52000] train loss: 10.9281, recall@10: 0.033, nDCG@10: 0.0211
[iter: 53000] train loss: 10.9190, recall@10: 0.031, nDCG@10: 0.0173
[iter: 54000] train loss: 10.9005, recall@10: 0.03, nDCG@10: 0.0136
[iter: 55000] train loss: 10.8603, recall@10: 0.03, nDCG@10: 0.0172
[iter: 56000] train loss: 10.8613, recall@10: 0.034, nDCG@10: 0.0181
[iter: 57000] train loss: 10.8270, recall@10: 0.037, nDCG@10: 0.0191
[iter: 58000] train loss: 10.7930, recall@10: 0.033, nDCG@10: 0.0171
[iter: 59000] train loss: 10.8017, recall@10: 0.037, nDCG@10: 0.0208
[iter: 60000] train loss: 10.7689, recall@10: 0.024, nDCG@10: 0.0141
[iter: 61000] train loss: 10.7651, recall@10: 0.024, nDCG@10: 0.0148
[iter: 62000] train loss: 10.7223, recall@10: 0.028, nDCG@10: 0.0161

--------TEST[@10,@20]--------
recall:	[0.0252, 0.0381]
nDCG:	[0.0136, 0.0168]
