[iter: 1000] train loss: 13.6985, recall@10: 0.006, nDCG@10: 0.0027
[iter: 2000] train loss: 12.5958, recall@10: 0.011, nDCG@10: 0.0053
[iter: 3000] train loss: 11.8360, recall@10: 0.013, nDCG@10: 0.0061
[iter: 4000] train loss: 11.2291, recall@10: 0.012, nDCG@10: 0.008
[iter: 5000] train loss: 10.7240, recall@10: 0.009, nDCG@10: 0.0043
[iter: 6000] train loss: 10.3581, recall@10: 0.014, nDCG@10: 0.0063
[iter: 7000] train loss: 10.0689, recall@10: 0.016, nDCG@10: 0.0081
[iter: 8000] train loss: 9.8548, recall@10: 0.018, nDCG@10: 0.0096
[iter: 9000] train loss: 9.6732, recall@10: 0.016, nDCG@10: 0.009
[iter: 10000] train loss: 9.5255, recall@10: 0.019, nDCG@10: 0.0084
[iter: 11000] train loss: 9.3802, recall@10: 0.012, nDCG@10: 0.0063
[iter: 12000] train loss: 9.2367, recall@10: 0.014, nDCG@10: 0.0051
[iter: 13000] train loss: 9.1118, recall@10: 0.019, nDCG@10: 0.0096
[iter: 14000] train loss: 9.0268, recall@10: 0.017, nDCG@10: 0.0103
[iter: 15000] train loss: 8.8958, recall@10: 0.025, nDCG@10: 0.013
[iter: 16000] train loss: 8.8038, recall@10: 0.022, nDCG@10: 0.0109
[iter: 17000] train loss: 8.7183, recall@10: 0.018, nDCG@10: 0.0094
[iter: 18000] train loss: 8.6509, recall@10: 0.017, nDCG@10: 0.0087
[iter: 19000] train loss: 8.5452, recall@10: 0.019, nDCG@10: 0.0077
[iter: 20000] train loss: 8.4629, recall@10: 0.013, nDCG@10: 0.0063
[iter: 21000] train loss: 8.3817, recall@10: 0.021, nDCG@10: 0.0098
[iter: 22000] train loss: 8.3158, recall@10: 0.015, nDCG@10: 0.0093
[iter: 23000] train loss: 8.2701, recall@10: 0.018, nDCG@10: 0.0078
[iter: 24000] train loss: 8.1872, recall@10: 0.022, nDCG@10: 0.0105
[iter: 25000] train loss: 8.1230, recall@10: 0.014, nDCG@10: 0.0066
[iter: 26000] train loss: 8.0732, recall@10: 0.028, nDCG@10: 0.0173
[iter: 27000] train loss: 8.0247, recall@10: 0.02, nDCG@10: 0.0098
[iter: 28000] train loss: 7.9609, recall@10: 0.024, nDCG@10: 0.0106
[iter: 29000] train loss: 7.9087, recall@10: 0.018, nDCG@10: 0.0088
[iter: 30000] train loss: 7.8722, recall@10: 0.019, nDCG@10: 0.0085
[iter: 31000] train loss: 7.7978, recall@10: 0.013, nDCG@10: 0.0053
[iter: 32000] train loss: 7.7365, recall@10: 0.02, nDCG@10: 0.0096
[iter: 33000] train loss: 7.7018, recall@10: 0.01, nDCG@10: 0.0052
[iter: 34000] train loss: 7.6573, recall@10: 0.02, nDCG@10: 0.0085
[iter: 35000] train loss: 7.5971, recall@10: 0.026, nDCG@10: 0.0128
[iter: 36000] train loss: 7.5483, recall@10: 0.029, nDCG@10: 0.014
[iter: 37000] train loss: 7.5166, recall@10: 0.022, nDCG@10: 0.0113
[iter: 38000] train loss: 7.4862, recall@10: 0.023, nDCG@10: 0.0118
[iter: 39000] train loss: 7.4461, recall@10: 0.026, nDCG@10: 0.0137
[iter: 40000] train loss: 7.3833, recall@10: 0.019, nDCG@10: 0.0094
[iter: 41000] train loss: 7.3656, recall@10: 0.019, nDCG@10: 0.0087
[iter: 42000] train loss: 7.3142, recall@10: 0.022, nDCG@10: 0.0095
[iter: 43000] train loss: 7.2997, recall@10: 0.019, nDCG@10: 0.0085
[iter: 44000] train loss: 7.2529, recall@10: 0.014, nDCG@10: 0.0068
[iter: 45000] train loss: 7.2212, recall@10: 0.024, nDCG@10: 0.0109
[iter: 46000] train loss: 7.1837, recall@10: 0.025, nDCG@10: 0.0097
[iter: 47000] train loss: 7.1502, recall@10: 0.017, nDCG@10: 0.0082
[iter: 48000] train loss: 7.1367, recall@10: 0.026, nDCG@10: 0.0111
[iter: 49000] train loss: 7.1119, recall@10: 0.03, nDCG@10: 0.0126
[iter: 50000] train loss: 7.0575, recall@10: 0.027, nDCG@10: 0.0123
[iter: 51000] train loss: 7.0490, recall@10: 0.023, nDCG@10: 0.0121
[iter: 52000] train loss: 7.0003, recall@10: 0.032, nDCG@10: 0.0144
[iter: 53000] train loss: 6.9882, recall@10: 0.016, nDCG@10: 0.0076
[iter: 54000] train loss: 6.9486, recall@10: 0.014, nDCG@10: 0.0071
[iter: 55000] train loss: 6.9316, recall@10: 0.02, nDCG@10: 0.0096
[iter: 56000] train loss: 6.9059, recall@10: 0.029, nDCG@10: 0.0166
[iter: 57000] train loss: 6.8683, recall@10: 0.017, nDCG@10: 0.0093
[iter: 58000] train loss: 6.8524, recall@10: 0.02, nDCG@10: 0.0094
[iter: 59000] train loss: 6.8111, recall@10: 0.02, nDCG@10: 0.0101
[iter: 60000] train loss: 6.8042, recall@10: 0.018, nDCG@10: 0.0088
[iter: 61000] train loss: 6.7714, recall@10: 0.03, nDCG@10: 0.0111
[iter: 62000] train loss: 6.7524, recall@10: 0.018, nDCG@10: 0.0088
[iter: 63000] train loss: 6.7328, recall@10: 0.019, nDCG@10: 0.0102
[iter: 64000] train loss: 6.7022, recall@10: 0.02, nDCG@10: 0.0086
[iter: 65000] train loss: 6.6625, recall@10: 0.028, nDCG@10: 0.0139
[iter: 66000] train loss: 6.6620, recall@10: 0.03, nDCG@10: 0.0129
[iter: 67000] train loss: 6.6195, recall@10: 0.031, nDCG@10: 0.0138
[iter: 68000] train loss: 6.6426, recall@10: 0.024, nDCG@10: 0.011

--------TEST[@10,@20]--------
recall:	[0.0191, 0.0341]
nDCG:	[0.0089, 0.0126]
