[iter: 1000] train loss: 13.7028, recall@10: 0.001, nDCG@10: 0.0006
[iter: 2000] train loss: 12.6087, recall@10: 0.006, nDCG@10: 0.0037
[iter: 3000] train loss: 11.8667, recall@10: 0.01, nDCG@10: 0.0046
[iter: 4000] train loss: 11.2140, recall@10: 0.016, nDCG@10: 0.0095
[iter: 5000] train loss: 10.6751, recall@10: 0.011, nDCG@10: 0.0047
[iter: 6000] train loss: 10.2897, recall@10: 0.011, nDCG@10: 0.0062
[iter: 7000] train loss: 9.9908, recall@10: 0.01, nDCG@10: 0.0054
[iter: 8000] train loss: 9.7828, recall@10: 0.016, nDCG@10: 0.0089
[iter: 9000] train loss: 9.5975, recall@10: 0.01, nDCG@10: 0.004
[iter: 10000] train loss: 9.4488, recall@10: 0.015, nDCG@10: 0.0073
[iter: 11000] train loss: 9.3034, recall@10: 0.016, nDCG@10: 0.0085
[iter: 12000] train loss: 9.1687, recall@10: 0.009, nDCG@10: 0.0056
[iter: 13000] train loss: 9.0438, recall@10: 0.018, nDCG@10: 0.0117
[iter: 14000] train loss: 8.9610, recall@10: 0.015, nDCG@10: 0.0082
[iter: 15000] train loss: 8.8364, recall@10: 0.016, nDCG@10: 0.008
[iter: 16000] train loss: 8.7406, recall@10: 0.016, nDCG@10: 0.0079
[iter: 17000] train loss: 8.6682, recall@10: 0.022, nDCG@10: 0.0111
[iter: 18000] train loss: 8.5983, recall@10: 0.018, nDCG@10: 0.0076
[iter: 19000] train loss: 8.4877, recall@10: 0.013, nDCG@10: 0.0055
[iter: 20000] train loss: 8.4212, recall@10: 0.017, nDCG@10: 0.0079
[iter: 21000] train loss: 8.3369, recall@10: 0.021, nDCG@10: 0.0098
[iter: 22000] train loss: 8.2667, recall@10: 0.016, nDCG@10: 0.0094
[iter: 23000] train loss: 8.2222, recall@10: 0.015, nDCG@10: 0.0065
[iter: 24000] train loss: 8.1417, recall@10: 0.013, nDCG@10: 0.0051
[iter: 25000] train loss: 8.0737, recall@10: 0.016, nDCG@10: 0.0083
[iter: 26000] train loss: 8.0321, recall@10: 0.011, nDCG@10: 0.0054
[iter: 27000] train loss: 7.9808, recall@10: 0.014, nDCG@10: 0.0078
[iter: 28000] train loss: 7.9222, recall@10: 0.027, nDCG@10: 0.0112
[iter: 29000] train loss: 7.8647, recall@10: 0.02, nDCG@10: 0.0103
[iter: 30000] train loss: 7.8311, recall@10: 0.014, nDCG@10: 0.0058
[iter: 31000] train loss: 7.7548, recall@10: 0.009, nDCG@10: 0.0046
[iter: 32000] train loss: 7.6997, recall@10: 0.013, nDCG@10: 0.0051
[iter: 33000] train loss: 7.6546, recall@10: 0.014, nDCG@10: 0.0058
[iter: 34000] train loss: 7.6135, recall@10: 0.013, nDCG@10: 0.0065
[iter: 35000] train loss: 7.5557, recall@10: 0.028, nDCG@10: 0.0109
[iter: 36000] train loss: 7.5224, recall@10: 0.014, nDCG@10: 0.0082
[iter: 37000] train loss: 7.4865, recall@10: 0.022, nDCG@10: 0.0104
[iter: 38000] train loss: 7.4496, recall@10: 0.022, nDCG@10: 0.0117
[iter: 39000] train loss: 7.4041, recall@10: 0.028, nDCG@10: 0.0141
[iter: 40000] train loss: 7.3463, recall@10: 0.018, nDCG@10: 0.0093
[iter: 41000] train loss: 7.3168, recall@10: 0.024, nDCG@10: 0.0114
[iter: 42000] train loss: 7.2684, recall@10: 0.02, nDCG@10: 0.0101
[iter: 43000] train loss: 7.2708, recall@10: 0.023, nDCG@10: 0.0093
[iter: 44000] train loss: 7.2099, recall@10: 0.018, nDCG@10: 0.0081
[iter: 45000] train loss: 7.1839, recall@10: 0.016, nDCG@10: 0.0059
[iter: 46000] train loss: 7.1424, recall@10: 0.013, nDCG@10: 0.0068
[iter: 47000] train loss: 7.1049, recall@10: 0.015, nDCG@10: 0.0059
[iter: 48000] train loss: 7.0935, recall@10: 0.024, nDCG@10: 0.011
[iter: 49000] train loss: 7.0721, recall@10: 0.027, nDCG@10: 0.0109
[iter: 50000] train loss: 7.0156, recall@10: 0.021, nDCG@10: 0.0081
[iter: 51000] train loss: 6.9910, recall@10: 0.022, nDCG@10: 0.0128
[iter: 52000] train loss: 6.9701, recall@10: 0.032, nDCG@10: 0.0164
[iter: 53000] train loss: 6.9423, recall@10: 0.019, nDCG@10: 0.0085
[iter: 54000] train loss: 6.9119, recall@10: 0.016, nDCG@10: 0.0073
[iter: 55000] train loss: 6.8850, recall@10: 0.022, nDCG@10: 0.0103
[iter: 56000] train loss: 6.8602, recall@10: 0.034, nDCG@10: 0.0151
[iter: 57000] train loss: 6.8246, recall@10: 0.016, nDCG@10: 0.0067
[iter: 58000] train loss: 6.8103, recall@10: 0.021, nDCG@10: 0.0086
[iter: 59000] train loss: 6.7741, recall@10: 0.028, nDCG@10: 0.0139
[iter: 60000] train loss: 6.7571, recall@10: 0.031, nDCG@10: 0.0146
[iter: 61000] train loss: 6.7278, recall@10: 0.023, nDCG@10: 0.0109
[iter: 62000] train loss: 6.7020, recall@10: 0.017, nDCG@10: 0.0077
[iter: 63000] train loss: 6.6895, recall@10: 0.024, nDCG@10: 0.0108
[iter: 64000] train loss: 6.6523, recall@10: 0.018, nDCG@10: 0.008

--------TEST[@10,@20]--------
recall:	[0.0173, 0.0307]
nDCG:	[0.0084, 0.0117]
